Height (cm),Weight (kg),Chest (cm),Waist (cm),Hip (cm),Size Purchased,Size Exchanged
177,58,97,90,95,M,XL
179,58,91,86,112,XS,M
175,62,88,93,106,L,M
177,79,103,93,95,L,M
175,64,95,68,86,S,M
182,64,97,74,93,XS,L
170,56,95,92,86,XS,L
184,60,95,91,105,XL,XL
183,89,83,83,103,XL,S
167,87,102,73,110,S,S
160,89,101,85,96,M,L
172,51,86,90,93,XS,XL
171,88,80,74,93,S,L
166,59,103,68,107,S,M
154,66,108,86,94,M,XL
160,56,102,94,89,XS,XL
179,89,108,68,93,XS,S
164,88,99,70,107,XS,S
176,53,80,90,102,XL,S
182,85,105,80,101,L,M
169,80,102,72,110,M,M
165,74,87,92,94,XS,M
183,62,89,80,98,M,M
151,67,80,70,88,M,M
184,70,100,81,94,L,M
177,85,100,65,106,M,XL
188,57,108,94,114,XS,S
155,70,93,83,102,L,S
158,70,93,82,89,XL,S
169,76,89,81,93,XL,M
150,68,107,81,90,XL,S
172,84,104,76,106,S,M
152,89,108,76,107,M,M
174,57,88,71,113,XS,XL
184,73,106,85,103,M,XL
163,70,87,72,87,L,S
161,87,90,91,105,L,M
166,57,100,94,104,L,S
188,56,85,75,89,M,S
158,51,94,84,114,XS,L
162,62,93,80,89,M,S
164,72,94,89,88,M,M
167,78,85,92,97,L,XL
182,87,108,77,104,XS,XL
155,86,103,73,101,XL,S
176,69,89,83,110,S,XL
172,82,93,71,104,XL,L
176,78,95,93,96,L,XL
183,64,92,81,114,L,XL
187,72,90,72,104,M,XL
163,52,104,72,109,XS,M
185,86,82,93,111,XS,L
157,78,87,67,104,L,L
184,57,107,80,91,XS,XL
168,71,82,76,85,S,S
179,78,81,79,114,XS,M
163,51,100,85,100,XS,S
174,69,99,87,114,L,M
189,70,108,91,86,XS,XL
173,86,100,71,96,L,M
163,57,101,75,95,XS,M
175,76,94,88,92,XS,S
172,55,80,77,110,M,M
152,50,101,72,110,S,S
168,74,81,85,92,XS,S
158,76,97,93,95,XL,XL
177,56,80,94,113,L,XL
169,78,88,93,105,M,M
156,80,82,81,89,L,XL
163,85,81,75,92,M,S
158,68,83,83,110,L,XL
168,55,95,82,105,L,XL
163,74,101,92,93,S,XL
185,58,88,69,89,S,XL
189,69,104,93,103,L,S
179,86,85,89,86,S,XL
158,76,99,89,103,M,XL
182,62,97,65,107,M,S
174,51,95,81,99,XS,M
163,70,87,81,92,XL,S
160,82,102,65,112,L,L
184,73,107,89,108,XL,S
163,83,109,65,111,L,M
179,58,83,87,92,M,S
177,71,85,91,95,XL,S
151,66,97,68,102,XS,M
171,85,102,73,111,XS,L
165,62,90,78,99,S,L
178,56,82,79,94,L,M
179,65,109,80,88,M,XL
161,82,92,80,105,XL,XL
184,50,96,77,112,XL,L
170,69,105,85,104,XS,XL
154,84,93,73,104,XL,L
169,86,104,87,109,XL,S
186,75,86,73,93,M,S
182,79,93,68,113,L,M
158,77,105,74,111,XS,XL
153,68,94,85,101,S,M
184,54,91,73,108,M,M
166,54,91,83,104,L,XL
183,76,87,80,88,XL,M
173,77,95,80,89,M,M
181,75,88,81,102,M,XL
150,76,81,82,101,M,L
157,70,93,74,105,S,S
172,50,103,85,91,M,L
189,77,103,83,94,L,S
161,64,108,86,93,S,S
161,66,95,79,112,L,XL
164,75,84,79,112,S,L
168,69,84,75,97,L,XL
175,74,99,72,102,XS,L
178,62,109,86,96,XS,M
189,74,97,74,107,XS,L
170,57,97,73,102,XL,L
187,54,84,79,89,L,M
169,55,90,86,91,S,M
178,72,92,94,99,XS,S
177,60,97,86,110,S,L
153,80,93,80,113,M,L
171,55,91,82,90,M,XL
161,60,93,80,111,M,S
152,62,105,69,104,M,M
171,61,97,65,85,L,M
151,51,109,83,105,XL,M
173,84,99,74,101,S,XL
183,85,81,85,95,XL,XL
176,66,86,93,114,S,L
150,77,94,77,111,M,XL
157,77,107,87,108,L,XL
172,71,89,88,86,S,M
187,87,94,87,109,S,XL
155,56,96,87,93,XS,S
171,64,90,75,103,L,XL
167,60,106,66,109,L,XL
166,73,100,70,91,XL,L
161,52,97,85,88,M,S
155,79,104,75,87,XS,XL
175,55,83,79,86,XL,L
176,51,88,73,94,M,S
157,63,106,76,94,S,XL
168,67,107,90,101,XS,S
178,62,96,68,100,XS,M
184,75,96,92,110,M,XL
189,61,109,87,111,XL,S
163,67,95,91,85,XL,L
169,70,104,78,104,S,M
162,89,87,86,104,S,L
157,83,94,91,94,M,XL
169,57,80,85,85,XS,L
182,82,98,81,100,M,S
170,63,88,72,87,S,XL
173,65,95,76,97,XS,M
186,87,107,76,105,XS,S
166,88,92,91,99,S,XL
173,75,95,66,109,M,M
170,75,101,93,94,XS,XL
188,50,90,74,90,XL,XL
188,81,92,87,95,M,S
160,70,105,65,85,L,XL
168,67,99,93,113,XS,L
160,79,96,68,104,XL,S
162,62,84,87,88,XS,S
150,73,108,78,114,M,L
189,79,96,80,110,XS,S
168,51,80,89,94,M,XL
161,68,106,82,106,XL,M
157,63,84,70,99,S,M
161,55,86,67,113,M,S
182,61,95,84,85,S,L
175,69,97,83,110,XL,S
188,72,85,77,105,XL,S
177,79,81,81,99,M,S
157,87,89,94,85,M,S
174,79,100,86,90,XL,S
176,79,99,75,103,S,S
172,85,90,80,88,L,L
179,83,105,75,96,L,XL
172,65,100,93,109,XL,S
169,73,81,82,86,S,S
167,63,87,66,101,M,S
151,57,101,85,90,XL,L
153,63,98,72,96,XS,M
179,80,99,78,99,M,XL
182,51,96,66,101,M,S
185,53,95,77,85,L,M
167,50,104,74,98,XS,M
177,89,93,77,88,L,M
189,74,103,90,104,XS,S
169,74,98,94,86,XS,XL
182,52,83,88,106,S,S
161,54,99,91,110,XL,L
164,87,95,83,98,S,L
188,75,103,88,102,XS,L
151,89,94,79,112,L,S
159,87,88,66,104,L,M
151,53,82,86,85,XS,M
160,56,102,69,100,L,S
162,79,88,83,91,S,S
159,79,97,65,90,XS,XL
163,68,83,71,112,XS,L
167,88,98,82,114,S,S
158,84,103,65,106,XL,XL
188,89,83,65,111,S,XL
152,82,80,92,94,M,L
169,63,80,81,107,XS,M
155,87,99,89,90,M,S
178,63,89,76,109,L,XL
187,85,91,84,103,S,M
165,65,93,77,104,L,L
189,77,89,94,104,XS,XL
166,55,103,66,101,XL,XL
184,52,109,82,94,L,L
150,84,94,92,90,S,S
164,63,87,68,112,XS,S
186,78,82,75,90,L,M
170,53,97,94,96,L,S
174,61,95,70,101,L,S
172,51,100,70,106,XS,XL
177,59,84,77,112,XL,S
170,71,92,94,109,L,L
184,84,86,68,89,XS,L
158,70,95,70,113,XS,L
187,70,86,82,88,S,L
179,70,106,92,90,M,M
183,81,104,77,95,XL,M
181,54,101,87,114,M,L
152,88,95,67,112,M,M
152,58,92,94,89,M,L
177,67,96,74,113,S,XL
164,70,88,68,106,XL,XL
160,59,105,76,94,XL,L
181,73,88,79,95,XL,L
185,89,84,93,87,XS,M
173,81,80,89,92,XS,M
188,82,83,90,105,S,S
183,87,107,93,89,S,L
156,80,95,76,110,XL,M
153,67,84,90,105,L,XL
186,72,101,86,112,M,L
150,71,83,72,94,S,L
150,67,85,85,111,XS,L
169,89,105,85,92,S,XL
168,88,102,67,105,M,L
178,69,82,71,93,S,XL
159,62,104,82,113,XL,XL
167,50,87,91,112,S,M
177,53,96,92,113,L,L
184,73,108,67,99,L,XL
180,85,97,79,85,S,XL
176,85,97,66,107,XS,M
160,51,105,79,89,S,L
187,77,104,77,99,XL,S
154,75,91,88,88,XL,XL
183,64,104,74,112,XS,M
161,85,80,88,94,L,M
187,76,102,88,107,XL,M
150,55,91,88,112,XL,L
180,84,90,88,86,S,S
154,87,82,80,102,XL,M
179,84,106,92,107,XL,XL
173,85,104,89,90,S,S
152,59,87,80,113,S,S
160,79,82,66,94,M,M
175,78,104,72,107,S,M
176,53,89,90,93,XL,M
155,54,96,65,97,S,M
164,53,82,94,102,XS,M
179,85,92,85,109,M,L
186,65,101,75,91,M,M
186,74,85,82,86,XL,S
186,63,93,90,100,S,XL
184,60,106,85,110,XS,XL
172,78,89,93,86,XL,M
155,83,99,79,88,S,L
153,71,95,88,86,XL,M
167,63,97,73,101,M,M
178,88,89,65,94,S,S
166,85,89,76,111,S,XL
181,88,84,91,99,L,L
153,87,85,74,96,L,S
154,81,86,83,103,M,S
186,55,90,93,95,XS,S
162,83,95,80,85,M,XL
171,79,91,75,92,XL,S
172,76,91,83,106,XS,XL
152,56,109,89,90,XL,L
183,76,102,93,96,L,M
181,74,99,83,104,XL,L
170,74,84,89,113,S,L
160,71,95,79,102,S,XL
153,61,85,93,104,S,S
150,72,108,80,114,XL,XL
184,59,100,72,91,S,XL
162,79,102,66,93,L,L
183,59,95,70,113,L,L
160,83,97,77,102,M,S
166,78,91,85,109,XL,L
167,58,105,76,85,XL,L
189,62,89,66,89,XS,XL
171,86,91,85,100,M,XL
173,63,93,84,98,XL,L
168,86,97,89,110,M,XL
188,57,85,81,113,XS,XL
170,88,84,70,95,S,S
157,89,106,71,104,XL,L
177,52,95,92,107,XS,S
154,89,93,70,97,XS,XL
166,82,92,85,111,XS,L
186,81,100,92,99,S,L
176,83,91,73,114,S,XL
161,75,107,79,100,S,S
170,66,107,72,97,L,S
160,77,106,87,92,L,S
188,68,95,68,102,XS,XL
177,76,109,90,103,XL,L
154,68,86,69,113,XL,M
166,82,106,71,110,S,XL
169,56,100,70,99,L,L
155,54,95,83,107,S,XL
166,79,104,74,88,S,L
168,57,85,79,90,L,XL
155,75,80,78,91,XS,XL
185,67,105,67,113,L,XL
187,69,104,75,96,S,M
160,65,93,74,102,M,S
182,86,85,93,102,L,L
164,64,91,89,85,L,L
176,83,109,66,89,M,XL
160,71,97,92,114,M,M
166,89,89,77,91,L,L
163,72,82,83,112,M,XL
167,72,87,80,95,L,XL
177,58,101,74,105,M,S
153,73,102,76,114,XS,M
156,70,104,84,107,L,S
184,65,80,77,105,L,S
158,74,97,85,95,XS,XL
157,75,94,80,94,XL,XL
166,58,104,86,108,S,L
182,88,99,90,100,M,M
181,82,96,65,114,S,S
157,50,104,86,85,M,XL
187,58,92,80,85,XS,L
152,55,104,83,96,XS,XL
154,77,99,79,100,XS,L
162,75,104,82,89,XS,XL
180,77,89,86,98,L,M
165,89,92,76,102,M,S
181,64,96,78,93,S,L
171,55,100,67,86,M,L
178,76,80,68,96,L,L
171,87,99,70,109,L,XL
152,53,95,80,94,M,L
159,60,95,92,86,M,XL
170,70,107,77,99,XS,XL
165,79,100,76,88,L,M
161,67,109,86,103,M,XL
173,52,82,66,88,S,L
184,61,81,93,109,XS,S
179,76,85,77,93,XS,L
184,70,108,77,94,S,XL
168,87,82,89,98,L,M
157,70,105,66,109,XL,XL
175,87,80,83,87,S,M
189,89,90,73,87,L,S
156,64,92,84,104,S,L
179,67,84,65,100,M,XL
156,78,97,91,93,XL,M
152,87,94,77,98,XL,M
174,67,99,83,93,XS,L
186,86,99,89,108,L,M
150,87,99,89,107,L,S
164,61,86,80,113,XS,M
186,60,96,75,89,L,M
162,69,108,79,97,XL,XL
189,58,87,70,99,S,XL
154,52,92,91,88,XS,XL
158,70,105,70,98,L,M
150,72,95,83,104,L,XL
184,68,89,75,104,S,L
151,68,108,68,91,S,S
189,72,93,90,88,XL,M
172,76,85,90,111,XS,S
158,76,99,92,101,XS,L
183,88,101,73,110,XS,M
163,85,105,73,93,XL,S
153,61,86,81,88,M,L
179,76,85,72,87,L,M
180,83,106,79,103,XL,L
187,82,96,73,93,XS,M
160,77,100,69,92,XL,M
184,80,103,68,110,XL,L
152,69,91,84,91,S,S
162,84,104,73,103,XL,XL
181,80,83,85,96,S,S
183,80,89,91,104,L,M
168,87,85,67,90,L,S
187,71,86,86,96,L,S
165,58,100,73,113,XL,XL
189,64,87,92,104,M,M
166,62,82,93,88,XS,S
165,65,94,88,99,L,XL
151,51,100,85,107,M,XL
151,75,80,71,90,L,S
175,63,92,71,102,S,M
180,83,97,87,106,XS,XL
183,57,94,72,89,M,M
188,85,86,91,88,S,S
157,77,104,65,95,M,L
172,55,82,91,93,M,M
176,80,105,89,95,XS,XL
178,82,93,87,86,XL,L
188,56,99,76,93,XL,M
188,57,83,70,108,XS,L
150,58,83,77,109,M,M
166,51,82,93,94,S,S
179,66,84,69,95,M,XL
162,86,104,85,87,M,XL
170,66,90,83,101,XL,S
168,87,87,90,95,S,M
168,84,105,65,101,XS,M
174,88,81,86,103,L,XL
180,55,95,94,86,S,M
166,53,104,82,108,XS,S
172,86,107,72,98,XL,XL
181,84,89,88,113,S,S
159,58,97,90,99,L,S
159,55,86,72,112,L,M
185,62,84,90,87,S,S
157,71,108,79,113,XS,XL
181,79,100,74,104,S,XL
163,85,107,88,106,S,L
177,51,85,80,110,S,XL
173,85,103,75,97,M,L
164,57,80,76,106,XS,M
171,58,108,80,97,S,L
153,62,92,92,106,M,M
172,81,80,84,105,M,L
157,83,100,67,91,S,M
167,80,94,91,107,XS,L
161,63,80,73,100,M,S
163,78,105,74,106,XS,S
183,58,93,82,90,XS,M
160,86,108,77,88,S,S
161,86,102,77,87,XS,L
164,77,107,79,85,XS,M
178,77,103,94,103,L,L
181,74,83,91,103,XS,L
171,84,99,91,108,XL,XL
187,53,99,83,108,L,L
166,63,85,74,103,XL,M
172,88,80,76,110,XS,L
173,75,107,78,110,L,M
157,57,97,70,112,S,S
155,73,85,85,97,XL,L
154,65,109,88,106,L,S
178,69,93,73,100,L,L
177,64,90,91,112,XS,M
160,56,96,71,92,XL,S
150,66,88,70,108,S,XL
168,71,107,86,110,M,L
158,71,101,65,100,XS,M
176,61,86,85,110,L,M
153,64,107,88,93,M,M
185,86,96,70,108,L,M
167,65,87,76,107,XL,L
164,54,107,81,110,XL,S
162,51,95,69,87,M,L
168,77,91,93,91,L,L
155,76,91,75,104,M,XL
161,80,107,92,102,S,XL
186,85,107,69,114,XS,L
166,50,84,76,108,XS,XL
175,50,93,88,85,L,M
178,57,85,73,96,M,L
182,65,86,70,100,XS,S
176,77,102,86,96,S,XL
159,67,96,90,94,XS,XL
162,74,92,72,111,XS,L
186,54,88,66,102,M,M
182,83,106,73,110,S,L
173,88,95,93,88,XL,M
160,59,83,80,92,XS,S
166,56,81,92,107,M,XL
153,86,92,94,105,M,L
174,64,92,89,88,L,XL
179,73,98,79,114,M,XL
158,75,91,78,100,M,S
170,75,83,84,105,S,XL
169,75,89,68,107,M,M
168,59,95,68,105,L,L
168,66,107,75,92,XL,S
161,63,103,85,91,L,M
186,51,98,88,107,XL,M
166,62,87,82,109,XS,S
186,76,85,91,108,XL,S
188,58,83,69,97,XL,XL
184,59,86,66,92,S,M
167,58,93,79,106,S,M
184,72,92,91,108,L,M
156,56,100,88,113,S,L
162,58,84,81,89,S,XL
167,76,88,80,110,L,XL
186,73,108,79,102,XL,L
185,66,89,67,107,L,S
180,69,94,84,110,L,M
151,56,99,94,103,L,M
165,89,100,79,94,XL,S
158,56,96,88,95,XL,S
187,68,103,92,90,S,M
160,69,85,93,95,XS,S
171,88,104,77,100,M,M
182,89,82,80,114,L,L
185,56,97,87,88,L,S
158,62,104,80,91,M,M
173,88,106,73,101,XL,M
156,71,96,70,97,S,M
167,71,82,87,97,S,XL
177,57,98,85,91,S,XL
155,67,100,88,94,M,L
170,73,99,72,113,S,L
177,51,101,76,100,XL,L
189,51,91,73,87,M,S
185,63,87,68,112,L,XL
170,88,94,77,88,L,XL
184,61,90,66,88,XL,XL
159,77,80,69,93,M,L
159,77,108,88,90,XL,S
186,53,109,90,109,L,S
187,75,93,82,112,XS,S
173,85,86,85,88,M,S
171,50,100,89,113,XL,L
166,66,83,66,96,XS,L
185,56,101,79,94,S,M
163,54,87,72,96,XL,XL
159,68,101,80,112,M,XL
184,88,98,67,109,XL,L
174,83,104,88,110,XL,XL
152,84,82,84,103,XL,L
187,65,83,84,113,XL,S
166,89,92,92,103,M,M
161,88,100,87,106,XS,XL
173,76,106,69,108,XS,S
178,87,81,68,85,L,XL
174,74,90,87,88,L,M
175,63,89,83,92,XS,M
187,63,94,79,106,XL,S
150,63,106,89,98,L,M
169,74,89,94,100,XL,S
177,85,81,77,86,S,M
165,53,85,69,92,XS,XL
166,64,93,76,97,M,M
189,81,81,83,114,S,M
177,67,89,66,85,M,L
161,63,96,71,96,XS,M
176,50,87,92,101,M,XL
179,69,105,87,91,XS,S
181,77,80,93,112,XS,S
181,76,89,75,96,XL,S
182,50,101,82,100,XL,M
156,82,91,71,109,S,M
161,53,109,74,108,S,L
165,56,96,87,85,XS,S
165,58,103,84,101,L,L
185,65,93,78,90,XL,XL
162,54,84,84,112,M,S
158,74,94,66,99,XL,L
181,62,92,77,97,L,S
160,73,96,77,114,L,M
157,60,80,73,90,S,S
182,66,107,81,105,L,L
172,86,93,79,97,M,L
171,69,109,93,85,S,XL
153,82,88,90,107,XS,L
189,81,96,87,94,S,XL
152,57,82,92,109,XS,XL
178,89,91,86,97,L,M
183,55,83,93,100,XL,S
177,88,97,80,93,XS,M
162,70,102,89,88,L,L
164,71,82,74,110,L,M
172,59,96,93,104,S,L
175,59,80,84,92,L,L
153,78,98,92,111,M,XL
175,65,101,91,88,M,S
158,66,96,93,95,S,XL
154,79,86,69,108,XS,XL
181,75,81,84,89,S,S
160,70,84,74,92,L,XL
164,66,95,70,114,M,M
177,70,102,84,88,S,S
171,89,106,70,104,L,M
166,68,107,76,85,S,M
175,56,87,85,104,M,XL
156,66,92,83,112,L,S
175,50,105,66,97,XS,S
174,86,93,77,108,M,XL
168,75,85,84,112,XL,L
160,51,95,75,89,L,XL
162,81,102,79,106,M,M
157,54,104,77,104,M,L
177,84,95,72,100,XL,L
160,79,92,92,92,S,XL
150,55,91,73,96,XS,S
187,64,97,79,109,XL,XL
173,64,108,87,87,L,XL
180,65,97,82,110,XL,L
175,69,93,72,88,S,M
154,62,81,75,101,S,L
169,80,101,93,111,S,M
160,83,81,93,105,S,L
182,78,82,91,104,XS,M
187,52,108,69,106,M,S
176,58,103,79,106,S,S
181,74,91,90,90,S,M
170,71,83,71,87,XL,XL
155,69,103,82,91,L,L
187,70,96,92,87,XS,S
159,58,94,93,98,S,L
162,54,99,75,99,XS,L
179,60,101,70,100,XL,XL
152,50,86,85,85,S,XL
179,50,89,74,99,XL,L
155,88,108,91,114,S,L
178,54,83,79,108,M,S
157,71,103,65,91,XL,XL
166,55,93,67,93,L,M
160,81,93,89,99,XS,S
162,60,93,75,98,XS,S
177,83,101,85,108,XL,L
155,80,99,73,102,XS,XL
165,61,97,71,93,XL,L
153,65,94,75,85,L,XL
184,87,102,72,96,L,XL
175,52,105,66,94,XL,M
161,51,98,69,91,XL,S
160,54,106,73,98,L,M
174,74,91,81,114,XL,M
167,84,98,74,85,M,M
168,84,98,72,99,M,S
172,71,99,82,106,XL,M
187,86,81,89,85,XS,S
167,71,108,74,97,L,S
175,60,108,73,104,S,S
155,81,100,68,107,M,S
153,84,82,66,86,M,M
178,80,89,83,87,XS,L
183,57,84,74,88,XL,L
165,83,108,67,106,S,S
151,53,86,85,113,XL,L
157,53,81,83,109,M,M
157,58,89,86,106,S,L
179,74,106,89,106,XS,L
150,53,82,82,87,XS,S
188,87,109,81,89,XL,M
166,68,89,74,96,XL,S
169,63,108,88,96,M,XL
173,70,88,93,111,M,S
171,64,99,78,110,XS,M
171,86,82,87,107,M,S
158,65,84,82,106,XL,L
186,63,87,75,91,S,XL
177,55,101,80,98,XS,S
177,70,96,89,107,L,L
170,64,90,88,100,XS,M
173,57,105,72,108,S,XL
189,83,95,88,91,XS,L
151,89,107,78,88,XL,S
157,50,85,87,104,XL,XL
176,81,107,82,112,M,L
171,54,90,88,89,M,M
186,79,89,85,98,XS,M
152,65,88,81,86,XL,M
185,51,106,67,87,L,M
158,63,107,73,94,L,XL
176,80,103,84,92,M,M
150,54,86,82,94,XS,XL
174,89,80,83,86,L,S
156,78,81,85,111,M,L
152,60,101,80,88,L,L
179,85,89,88,104,S,S
184,64,99,79,113,L,XL
184,68,94,90,98,XS,XL
188,71,89,76,100,S,S
176,83,98,89,89,XL,M
166,74,107,78,111,XL,L
167,66,92,82,113,M,L
178,59,109,82,88,XS,M
169,77,103,70,113,XS,XL
176,67,90,65,87,M,XL
167,67,101,91,85,XS,XL
150,63,100,82,88,S,L
175,67,92,76,85,XL,M
169,65,101,77,100,S,S
172,66,104,84,107,L,S
159,56,101,66,87,XS,XL
160,61,105,68,108,M,L
154,83,100,67,90,M,M
166,54,105,89,101,XL,M
171,70,84,72,99,S,M
183,52,100,76,110,S,M
178,68,101,76,105,XL,L
153,84,86,74,114,S,M
154,55,92,89,96,XL,S
160,63,92,65,113,L,XL
170,53,99,92,92,XS,M
161,78,100,92,100,L,S
175,84,85,92,87,XL,M
168,87,99,84,112,L,L
156,65,91,75,112,L,M
156,69,87,94,88,L,XL
175,73,88,73,91,XS,S
189,84,97,78,99,XL,XL
154,68,107,67,95,XL,XL
170,53,90,69,100,XL,L
163,82,99,88,106,L,M
153,51,90,90,98,S,XL
172,62,103,85,107,S,S
169,79,103,73,97,XL,M
164,83,94,82,93,S,XL
188,59,104,71,104,XL,XL
177,67,96,80,106,XL,L
176,68,82,72,89,M,XL
153,56,98,87,106,M,S
184,73,96,74,108,XL,XL
150,72,97,69,106,L,S
152,53,102,75,109,XL,L
173,87,94,93,105,L,L
176,53,80,94,101,L,L
185,72,105,77,113,S,XL
183,89,89,91,108,M,M
178,86,87,84,104,S,S
173,60,108,78,97,XS,S
152,63,81,74,95,XL,L
183,57,98,74,92,M,S
172,74,93,92,109,XS,M
172,67,87,74,105,M,L
154,67,98,90,89,S,L
180,59,80,83,86,M,M
155,56,95,75,109,XL,M
186,63,104,75,111,XL,L
159,64,103,67,88,L,M
189,65,94,83,87,S,L
156,51,99,88,86,S,XL
187,79,109,65,100,M,XL
152,62,96,79,90,XS,XL
177,72,84,84,89,M,L
187,87,85,82,93,S,M
154,85,86,70,90,S,S
162,69,98,74,87,M,L
172,52,86,92,107,L,L
186,89,96,81,110,S,S
174,81,102,72,106,L,S
176,78,96,68,112,L,L
163,56,92,79,99,XS,XL
185,51,106,65,95,XS,S
165,55,81,89,100,XL,M
171,77,97,74,99,XL,XL
157,58,80,81,90,L,XL
165,60,83,76,98,S,M
180,72,81,81,95,M,XL
159,60,83,79,110,M,L
183,52,83,80,94,L,L
158,60,104,87,100,L,L
166,84,88,78,96,S,L
160,64,96,67,91,L,M
159,80,102,76,111,M,L
171,77,99,83,108,L,L
166,77,107,82,102,S,L
153,81,100,94,99,S,S
170,69,82,84,90,XL,L
186,77,102,87,114,XS,M
187,74,105,73,103,S,S
150,60,108,67,92,S,S
174,68,94,90,104,M,XL
185,77,86,87,99,XL,M
166,50,83,76,114,XS,XL
173,54,91,84,88,M,S
151,59,80,81,102,M,XL
189,83,96,69,97,XL,XL
164,85,83,72,106,M,XL
181,51,83,83,106,XL,L
188,67,101,90,85,S,S
155,62,102,68,112,S,XL
150,54,104,79,92,XL,M
172,69,88,83,103,L,L
188,51,105,79,101,L,S
166,60,107,90,94,XS,S
178,81,100,94,85,XS,S
158,81,89,80,105,XL,XL
155,77,98,74,85,XL,S
155,59,98,88,105,XS,L
169,71,94,78,107,M,S
152,66,101,84,105,XS,L
166,71,96,75,109,M,S
161,68,86,66,104,S,S
150,66,82,92,97,S,XL
166,73,84,83,93,M,S
152,85,95,67,100,M,XL
164,85,86,75,92,M,S
185,77,95,77,98,M,XL
181,63,88,82,113,XL,L
167,58,104,76,88,XL,L
184,61,97,88,101,L,L
189,79,103,70,112,M,M
163,80,103,67,108,M,XL
182,89,97,81,100,XL,S
183,80,98,65,100,XL,M
153,76,86,67,111,XS,L
173,74,108,68,86,XL,S
178,54,104,70,108,XS,L
168,55,99,71,99,M,L
155,54,106,87,95,XS,L
189,57,104,72,88,S,M
150,64,90,68,85,L,S
154,85,84,70,99,M,M
176,56,91,75,96,S,S
155,57,98,72,93,XL,XL
189,64,90,86,91,XS,XL
162,86,94,66,87,M,M
184,68,104,72,100,XS,XL
168,88,95,84,88,M,L
161,55,82,73,110,S,XL
165,68,90,68,107,L,XL
159,77,90,81,98,XL,L
174,66,89,71,106,M,L
169,68,81,74,97,S,S
153,60,84,74,104,M,M
172,64,102,91,103,S,L
151,59,102,76,111,XL,M
171,72,104,85,86,XS,S
186,52,108,84,94,L,XL
163,74,94,67,103,L,L
152,69,81,91,99,L,XL
168,71,103,71,99,S,M
167,64,87,75,101,XS,XL
165,88,100,88,108,S,L
157,59,108,76,100,L,M
161,78,104,65,112,XL,M
160,81,107,68,100,XS,XL
154,59,102,66,102,XS,M
176,62,80,66,101,XS,L
166,72,89,85,86,S,M
155,80,92,66,101,S,M
182,53,84,68,101,M,S
154,52,101,89,86,XS,XL
177,70,88,75,106,M,L
154,53,93,88,113,L,M
182,50,103,90,99,XS,S
168,64,109,77,113,XL,XL
171,82,90,86,112,L,L
154,55,93,90,112,XS,S
151,56,109,85,100,XS,XL
188,50,108,91,113,S,L
182,68,95,83,92,XS,XL
162,75,99,88,105,XL,M
169,61,109,79,114,XS,M
156,71,96,92,108,M,M
172,71,96,91,98,S,M
168,79,99,87,108,L,XL
178,69,101,65,96,S,M
169,76,90,80,86,XL,XL
178,87,91,92,98,XL,XL
173,83,104,92,107,M,XL
167,88,106,77,109,M,L
157,50,81,70,108,L,XL
175,64,106,87,113,L,XL
178,81,98,92,93,XL,XL
166,82,108,74,92,S,L
155,78,90,93,100,XS,M
154,54,107,89,99,S,S
167,67,86,67,109,M,S
175,59,100,70,93,L,L
176,82,101,70,107,XL,S
156,89,90,77,112,S,XL
152,54,106,68,96,XL,S
159,83,93,79,99,XS,S
183,73,107,70,103,M,S
184,80,107,73,106,S,XL
151,66,88,89,86,XS,S
173,77,81,87,112,S,XL
159,87,104,75,103,L,S
187,71,90,77,108,XL,L
171,64,107,65,104,XS,XL
175,86,99,83,104,L,L
188,64,101,92,86,S,M
176,74,109,85,99,XL,S
178,70,86,68,111,L,M
169,51,103,87,96,XL,L
176,76,108,89,113,XS,M
169,81,93,81,85,S,M
168,70,105,69,107,M,S
169,53,103,83,98,M,XL
184,68,80,67,88,M,S
151,51,103,75,106,L,S
183,83,109,86,95,S,L
152,64,98,70,97,XL,XL
155,69,84,83,98,XL,M
164,83,109,65,91,XL,L
158,58,90,88,104,S,XL
182,56,101,83,104,M,M
181,79,83,65,109,S,M
155,62,94,90,95,M,L
185,76,99,73,105,S,L
151,84,91,85,93,XS,S
178,62,99,81,111,XS,XL
153,64,101,74,112,S,L
150,58,102,91,109,XL,XL
168,72,108,70,88,XS,L
175,85,100,90,86,L,XL
174,89,89,67,86,M,S
171,68,95,88,103,S,M
170,77,102,79,99,XL,S
185,89,99,92,105,XS,S
183,56,87,86,102,L,L
179,61,108,90,100,XS,M
174,63,85,84,86,S,S
177,64,82,70,110,XL,L
150,52,108,67,96,M,L
153,64,87,74,113,L,M
156,73,108,76,85,L,XL
158,57,102,65,86,M,M
185,54,89,86,98,S,L
168,53,84,94,111,L,S
185,69,96,81,99,XS,L
158,73,105,74,101,XL,S
181,55,82,76,93,M,M
155,55,87,92,86,XS,L
187,84,109,72,111,XS,XL
176,52,100,74,95,XL,L
184,60,95,74,103,M,XL
170,52,93,82,98,L,L
177,59,95,71,88,XS,L
153,65,83,68,114,L,S
178,59,80,65,95,XL,L
158,82,80,75,100,L,M
176,85,108,83,107,XS,L
175,52,101,69,110,M,S
177,61,99,90,86,M,S
166,62,99,72,86,XL,S
169,73,82,66,93,XL,L
189,81,93,66,106,XS,M
188,65,88,88,111,M,M
172,81,98,78,107,S,L
181,86,87,73,105,M,M
182,85,81,74,113,XL,M
154,70,83,77,105,M,M
183,61,80,93,88,XS,XL
189,70,90,65,92,XL,S
